TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,SaleType,EarnedRewardPoints
1101,6/7/2024,1020,2091,404,1,4252.36,Payment,425236
1102,6/11/2024,1066,2097,404,2,3636.18,Payment,363618
431,6/19/2024,1058,2061,404,0,546.31,Payment,54631
1094,6/20/2024,1151,2039,402,2,2204.78,Payment,220478
645,6/21/2024,1163,2065,402,1,1217.59,Payment,121759
190,6/27/2024,1071,2084,404,2,946.34,Payment,94634
155,6/29/2024,1066,2094,403,2,1636.34,Payment,163634
2363,6/29/2024,1116,2061,402,1,742.38,Payment,74238
2000,6/29/2024,1120,2023,404,3,2912.32,Payment,291232
460,7/4/2024,1118,2018,402,2,1244,Payment,124400
1789,7/4/2024,1194,2073,403,0,754.35,Payment,75435
1359,7/7/2024,1034,2043,401,3,695.26,Payment,69526
584,7/9/2024,1168,2027,401,0,1229.14,Payment,122914
327,7/10/2024,1157,2090,401,1,896.69,Payment,89669
487,7/11/2024,1011,2016,402,1,423.65,Payment,42365
178,7/12/2024,1098,2053,402,1,1870.82,Payment,187082
1282,7/13/2024,1062,2028,404,0,1661.21,Payment,166121
1651,7/15/2024,1051,2023,403,1,2641.35,Payment,264135
1557,7/16/2024,1116,2097,403,1,3174.21,Payment,317421
84,7/18/2024,1165,2063,403,2,990.87,Payment,99087
362,7/26/2024,1125,2024,402,3,487.43,Payment,48743
862,7/28/2024,1135,2035,403,3,3471.03,Payment,347103
577,7/31/2024,1039,2096,404,1,1465.7,Payment,146570
1384,8/1/2024,1142,2091,403,2,1390.01,Payment,139001
801,8/2/2024,1020,2065,404,0,1592.44,Payment,159244
1832,8/2/2024,1022,2056,402,0,1372.76,Payment,137276
745,8/6/2024,1020,2041,404,0,4287.13,Payment,428713
1224,8/12/2024,1131,2041,403,1,3550.29,Payment,355029
1465,8/14/2024,1047,2013,403,2,593.23,Payment,59323
374,8/15/2024,1091,2087,402,3,852,Payment,85200
1791,8/16/2024,1116,2039,404,3,1232.23,Payment,123223
384,8/18/2024,1193,2081,401,3,1199.17,Payment,119917
1964,8/22/2024,1005,2079,404,1,780.75,Payment,78075
919,8/27/2024,1155,2023,403,2,1001.88,Payment,100188
994,8/31/2024,1071,2048,403,2,330.35,Payment,33035
2047,9/4/2024,1034,2045,404,0,595.02,Payment,59502
1074,9/4/2024,1058,2096,401,0,537.35,Payment,53735
850,9/7/2024,1089,2086,401,1,938.17,Payment,93817
1219,9/8/2024,1046,2083,402,3,1959.79,Payment,195979
1749,9/15/2024,1020,2040,404,2,14.09,Payment,1409
705,9/16/2024,1042,2046,402,3,30.81,Payment,3081
125,9/20/2024,1029,2009,403,3,53.18,Payment,5318
726,9/28/2024,1100,2013,401,3,4318.77,Payment,431877
664,10/1/2024,1194,2097,404,1,2740.55,Payment,274055
1859,10/4/2024,1021,2073,404,1,1619.75,Payment,161975
552,10/7/2024,1020,2021,401,2,148.92,Payment,14892
81,10/9/2024,1103,2000,404,1,1264.14,Payment,126414
2019,10/11/2024,1020,2026,404,1,812.88,Payment,81288
1511,10/11/2024,1032,2023,403,2,2370.09,Payment,237009
503,10/13/2024,1190,2079,403,3,1086.69,Payment,108669
1848,10/17/2024,1059,2056,404,3,237.11,Payment,23711
1307,10/19/2024,1020,2009,403,,147.48,Payment,14748
251,10/22/2024,1137,2010,401,2,1244.72,Payment,124472
776,10/24/2024,1180,2026,401,3,590.83,Payment,59083
2235,10/26/2024,1102,2025,402,0,1623.25,Payment,162325
585,10/28/2024,1165,2023,401,2,3472.15,Payment,347215
587,11/1/2024,1066,2033,402,3,441.3,Payment,44130
588,11/2/2024,1027,2079,402,0,3719.3,Payment,371930
1351,11/2/2024,1071,2041,403,0,4926.07,Payment,492607
1122,11/2/2024,1102,2013,403,1,4183.36,Payment,418336
1922,11/3/2024,1066,2097,403,,4506.12,Payment,450612
844,11/4/2024,1032,2078,404,3,793.77,Payment,79377
1196,11/9/2024,1192,2071,404,3,306.81,Payment,30681
2286,11/19/2024,1193,2051,401,2,172.63,Payment,17263
95,11/22/2024,1119,2086,402,,1975.92,Payment,197592
963,11/23/2024,1023,2029,402,1,32.55,Payment,3255
1055,11/23/2024,1070,2023,403,1,3678.01,Payment,367801
1131,11/25/2024,1023,2079,403,1,4969.19,Payment,496919
557,11/26/2024,1118,2036,403,1,841.09,Payment,84109
279,11/27/2024,1071,2056,401,,285.16,Payment,28516
2186,11/29/2024,1005,2019,404,0,2461.67,Payment,246167
1715,11/29/2024,1124,2034,402,1,901.94,Payment,90194
1183,11/30/2024,1153,2032,404,2,95.88,Payment,9588
2300,12/1/2024,1116,2001,404,2,690.1,Payment,69010
2233,12/3/2024,1032,2099,403,1,1662.78,Payment,166278
702,12/4/2024,1101,2016,401,2,1011.04,Payment,101104
1050,12/7/2024,1066,2064,404,0,993.25,Payment,99325
1862,12/10/2024,1095,2034,403,3,1149.25,Payment,114925
1072,12/11/2024,1174,2002,404,,1406.11,Payment,140611
767,12/13/2024,1071,2054,404,,4825.01,Payment,482501
2001,12/13/2024,1089,2091,403,1,3508.67,Payment,350867
2087,12/14/2024,1017,2080,403,0,1739.24,Payment,173924
1125,12/15/2024,1132,2097,402,3,1532.01,Payment,153201
565,12/17/2024,1028,2003,402,3,1437.96,Payment,143796
2150,12/18/2024,1110,2071,401,0,1524.65,Payment,152465
2372,12/18/2024,1115,2023,402,2,4986.14,Payment,498614
974,12/19/2024,1198,2046,404,1,131.52,Payment,13152
614,12/25/2024,1034,2005,401,0,818.92,Payment,81892
881,12/25/2024,1160,2031,401,3,1391.57,Payment,139157
973,12/27/2024,1032,2091,401,3,1460.62,Payment,146062
1572,12/27/2024,1117,2002,402,0,141.62,Payment,14162
4,12/27/2024,1186,2015,404,,1275.85,Payment,127585
774,12/27/2024,1196,2001,401,1,481.97,Payment,48197
957,12/28/2024,1032,2083,404,1,774.38,Payment,77438
802,12/30/2024,1005,2082,403,3,1439.35,Payment,143935
768,12/31/2024,1042,2091,403,3,4290.97,Payment,429097
1597,1/3/2025,1195,2018,402,2,1928.1,Payment,192810
300,1/8/2025,1002,2000,404,2,1083.14,Payment,108314
2100,1/8/2025,1154,2045,402,1,829.36,Payment,82936
1566,1/13/2025,1034,2045,403,0,1032.84,Payment,103284
1684,1/16/2025,1049,2035,401,3,3590.48,Payment,359048
1415,1/17/2025,1147,2052,401,3,1403.19,Payment,140319
576,1/18/2025,1044,2035,404,0,879.81,Payment,87981
1496,1/22/2025,1032,2023,401,,1029.73,Payment,102973
453,1/25/2025,1025,2070,403,2,75.99,Payment,7599
446,1/26/2025,1089,2045,401,2,231.37,Payment,23137
851,1/29/2025,1154,2084,402,,1306.57,Payment,130657
254,2/1/2025,1034,2037,404,0,1884.32,Payment,188432
983,2/6/2025,1116,2045,403,3,1541.91,Payment,154191
64,2/7/2025,1002,2024,401,3,1528.42,Payment,152842
1174,2/9/2025,1024,2040,402,2,124.77,Payment,12477
770,2/18/2025,1110,2097,403,2,4908.38,Payment,490838
1069,2/21/2025,1169,2007,402,0,187.99,Payment,18799
1135,2/24/2025,1009,2070,404,2,115.71,Payment,11571
394,2/26/2025,1032,2081,403,1,1930.37,Payment,193037
1478,2/28/2025,1039,2048,403,3,1288.65,Payment,128865
2146,2/28/2025,1145,2001,401,2,825.17,Payment,82517
507,3/4/2025,1028,2031,402,2,1402.9,Payment,140290
234,3/5/2025,1005,2060,401,1,1698.39,Payment,169839
1544,3/8/2025,1107,2000,404,0,1455.72,Payment,145572
485,3/11/2025,1187,2013,403,1,785.04,Payment,78504
1894,3/14/2025,1058,2092,404,3,1474.47,Payment,147447
2325,3/15/2025,1135,2037,401,3,547.94,Payment,54794
684,3/22/2025,1149,2095,402,1,391.55,Payment,39155
1628,3/29/2025,1066,2022,403,2,1513.03,Payment,151303
170,3/29/2025,1089,2057,404,2,1666.65,Payment,166665
1200,3/30/2025,1045,2000,403,1,241.73,Payment,24173
1946,4/2/2025,1132,2076,403,,1618.66,Payment,161866
969,4/11/2025,1033,2065,403,3,562.51,Payment,56251
1118,4/18/2025,1074,2062,404,3,476.91,Payment,47691
1649,4/18/2025,1147,2019,404,1,2846.94,Payment,284694
1641,4/20/2025,1092,2049,404,2,1159.93,Payment,115993
1970,4/20/2025,1192,2051,402,0,1126.69,Payment,112669
562,4/22/2025,1162,2096,402,3,810.47,Payment,81047
1941,4/26/2025,1012,2062,403,1,737.42,Payment,73742
598,4/28/2025,1024,2021,401,0,1210.21,Payment,121021
2168,4/29/2025,1158,2057,402,,358.76,Payment,35876
2062,5/1/2025,1021,2013,403,3,2635.07,Payment,263507
1013,5/1/2025,1158,2035,401,1,1952.87,Payment,195287
2162,5/3/2025,1033,2097,401,1,4242.44,Payment,424244
2022,5/3/2025,1184,2021,401,0,338.22,Payment,33822
633,5/4/2025,1028,2005,402,0,833.18,Payment,83318
999,5/6/2025,1034,2066,402,2,473.07,Payment,47307
1264,5/9/2025,1005,2025,402,,1678.99,Payment,167899
1333,5/9/2025,1036,2087,402,,0,Payment,0
1798,5/11/2025,1197,2061,401,,1146.79,Payment,114679
2111,5/17/2025,1086,2090,401,,1138.32,Payment,113832
951,5/18/2025,1096,2089,404,0,193.85,Payment,19385
2267,5/20/2025,1010,2005,401,0,1459.63,Payment,145963
129,5/20/2025,1032,2046,401,0,92.44,Payment,9244
229,5/29/2025,1134,2019,401,3,3338.16,Payment,333816
1842,5/30/2025,1032,2013,402,2,3313.72,Payment,331372
496,5/30/2025,1076,2027,403,,1394.95,Payment,139495
1947,6/5/2024,1174,2064,403,,660.78,Payment,66078
489,6/6/2024,1167,2010,404,0,1499.78,Payment,149978
1802,6/7/2024,1065,2083,401,2,688.1,Payment,68810
